Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       S       L2      
7-30    23      1.2188  10.29   23.8    2.31    136.38  2.3569  3083    86.342  15.796  90.334  
---------------------------------------------------------------------
Average :       3.989   10.12   21.44   2.242   142     133.4   3025    
Optimum :       1.122   10.42   29.89   2.59    114.3   2.357   2995    
 
8-1     12      1.6543  10.18   18.67   2.09    174.5   33.922  3118    87.743  20      90.615  
8-2     6       4.1999  9.9     18.6    2.2     123.04  182.96  2970    90.037  10.439  90.406  
8-3     13      2.1387  10.36   20.03   2.39    124.08  90.989  3026    88.317  14.687  89.962  
8-4     30      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
8-5     21      1.2008  10.31   25.59   2.42    110.11  20.264  3025    86.493  13.281  89.977  
8-6     8       8.871   10.1    24.38   2.09    191.2   378.53  2998    94.956  15.029  90.698  
8-7     7       1.4055  9.89    16.86   2.18    131.12  36.774  3063    86.778  11.615  90.785  
8-8     15      1.825   10.1    21.41   2.09    172.04  59.846  3109    88.159  17.693  90.964  
8-9     2       2.4719  9.59    12.3    2.01    157.69  115.72  3076    88.838  11.264  91.458  
8-10    3       1.5251  10.33   8.84    2.88    73.758  5.5639  2915    86.58   13.739  88.757  
8-11    29      1.5512  10.16   33.09   2.34    108.81  48.751  3008    87.019  11.8    90.117  
8-12    11      1.7625  9.95    19.04   2.25    112.26  64.398  3007    87.252  10.542  90.332  
8-13    4       6.4836  9.9     15.72   2.24    133.11  -262.1  3186    80      14.01   91.292  
8-14    5       4.5086  10.38   14.29   2.3     162.26  217.01  3040    91.632  18.23   89.841  
8-15    26      1.5835  10.22   29.89   2.43    95.14   44.799  2968    86.922  11.4    89.812  
8-16    22      1.8918  10.16   28.88   2.26    131.9   76.25   3047    87.865  13.438  90.447  
8-17    23      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
8-18    1       2.753   10.22   8.62    2.91    65.054  76.999  2819    88.297  12.249  88.669  
8-19    9       1.2614  10.4    17.41   2.42    124.88  -24.33  3074    85.719  16.356  89.923  
8-20    17      1.5184  10.06   21.39   2.13    158.9   30.831  3105    87.222  15.893  90.998  
8-21    14      3.0619  10.33   21.16   2.36    129.73  140.92  3014    89.476  14.518  90.026  
8-22    10      7.7415  10.26   23.44   2.3     142.96  305.02  2951    93.118  13.691  90.076  
8-23    24      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
8-24    25      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
8-25    19      4.2423  10.27   25.43   2.37    119.58  182.02  2966    90.274  12.851  89.974  
8-26    16      1.825   10.1    21.41   2.09    172.04  59.846  3109    88.159  17.693  90.964  
8-27    27      1.5835  10.22   29.89   2.43    95.14   44.799  2968    86.922  11.4    89.812  
8-28    28      1.5835  10.22   29.89   2.43    95.14   44.799  2968    86.922  11.4    89.812  
8-29    18      2.2174  10.33   22.23   2.4     116.59  93.311  3008    88.277  13.68   89.942  
8-30    20      1.9903  10.29   25.73   2.39    112.89  78.923  3005    87.876  13.078  89.977  
---------------------------------------------------------------------
Average :       2.706   10.17   22.59   2.333   125.3   81.56   3016    
Optimum :       1.104   10.4    35.14   2.91    112.3   0.451   3118    
 
9-1     24      1.5512  10.16   33.09   2.34    108.81  48.751  3008    87.019  11.8    90.117  
9-2     13      4.2423  10.27   25.43   2.37    119.58  182.02  2966    90.274  12.851  89.974  
9-3     14      1.8478  10.16   23.94   2.17    157.94  69.064  3090    88.095  16.225  90.737  
9-4     28      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
9-5     7       1.8887  10.08   21.08   2.07    174.58  65.266  3110    88.328  17.843  91.004  
9-6     9       2.1177  10.34   21.91   2.42    113.63  86.631  3003    88.108  13.529  89.902  
9-7     22      1.5835  10.22   29.89   2.43    95.14   44.799  2968    86.922  11.4    89.812  
9-8     6       2.1387  10.36   20.03   2.39    124.08  90.989  3026    88.317  14.687  89.962  
9-9     18      1.8918  10.16   28.88   2.26    131.9   76.25   3047    87.865  13.438  90.447  
9-10    29      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
9-11    23      5.8144  10.11   35.13   2.32    113.05  224.66  2916    91.074  11.035  90.014  
9-12    12      1.1112  10.36   20.84   2.49    101.53  4.0934  3010    86.122  13.216  89.772  
9-13    1       1.5228  10.33   8.83    2.88    73.866  5.5326  2916    86.58   13.755  88.757  
9-14    10      2.2174  10.33   22.23   2.4     116.59  93.311  3008    88.277  13.68   89.942  
9-15    3       7.7415  10.26   23.44   2.3     142.96  305.02  2951    93.118  13.691  90.076  
9-16    4       1.7625  9.95    19.04   2.25    112.26  64.398  3007    87.252  10.542  90.332  
9-17    27      1.1689  10.24   34.54   2.41    101.74  13.147  3006    86.202  12.032  89.95   
9-18    21      2.1675  10.25   29.79   2.39    107.72  87      2986    87.994  12.288  89.951  
9-19    30      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
9-20    19      1.8918  10.16   28.88   2.26    131.9   76.25   3047    87.865  13.438  90.447  
9-21    8       1.825   10.1    21.41   2.09    172.04  59.846  3109    88.159  17.693  90.964  
9-22    11      2.2174  10.33   22.23   2.4     116.59  93.311  3008    88.277  13.68   89.942  
9-23    20      3.0755  10.24   30.29   2.38    109.91  131.29  2967    89.025  12.124  89.952  
9-24    26      1.3577  10.25   33.99   2.43    100.24  -30.33  3021    85.172  12.196  89.949  
9-25    17      1.2008  10.31   25.59   2.42    110.11  20.264  3025    86.493  13.281  89.977  
9-26    25      1.5512  10.16   33.09   2.34    108.81  48.751  3008    87.019  11.8    90.117  
9-27    5       1.767   9.98    19.17   2.15    146.78  65.296  3078    87.713  13.423  90.931  
9-28    15      1.4957  10.08   24.1    2.29    114.65  45.856  3024    86.93   11.631  90.301  
9-29    2       7.372   10.3    19.88   2.28    157.2   308.1   2981    93.342  15.199  90.094  
9-30    16      3.2543  10.17   26.96   2.21    151.08  157.79  3044    89.931  14.517  90.566  
---------------------------------------------------------------------
Average :       2.37    10.21   26.3    2.346   120.6   81.29   3012    
Optimum :       1.104   10.36   35.14   2.88    112.3   0.451   3008    
 
10-1    14      1.6639  10.26   30.38   2.4     106.36  55.893  2998    87.259  12.358  89.959  
10-2    23      1.355   10.23   34.22   2.4     102.56  31.293  2999    86.635  12.001  89.949  
10-3    18      1.5512  10.16   33.09   2.34    108.81  48.751  3008    87.019  11.8    90.117  
10-4    19      1.5512  10.16   33.09   2.34    108.81  48.751  3008    87.019  11.8    90.117  
10-5    30      4.7969  10.15   41.52   2.31    120.08  200.88  2954    90.595  11.8    90.117  
10-6    12      1.8918  10.16   28.88   2.26    131.9   76.25   3047    87.865  13.438  90.447  
