Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       R       
8-14    4       1.3274  0       0       0       38.751  5.4659  99.13   1.0389  0.5     
8-15    1       1.4586  0       0       0       37.683  -10.95  99.14   1.0451  0.3207  
8-16    11      1.3243  0       0       0       38.512  -4.576  99.15   1.0431  0.4103  
8-17    6       1.3328  0       0       0       38.164  -4.302  99.14   1.0353  0.3782  
8-18    26      1.2689  0       0       0       39.574  2.0164  99.16   1.0446  0.3665  
8-19    30      1.1467  0       0       0       43.979  2.2437  99.25   1.0389  0.5     
8-20    20      1.3075  0       0       0       38.32   1.463   99.13   1.0479  0.4529  
8-21    16      1.3141  0       0       0       38.477  3.4146  99.13   1.0336  0.4563  
8-22    24      1.2592  0       0       0       40.72   4.7438  99.18   1.048   0.4932  
8-23    29      1.1836  0       0       0       43.072  -3.656  99.24   1.0357  0.4168  
8-24    13      1.3095  0       0       0       39.601  6.0576  99.15   1.041   0.4901  
8-25    7       1.3126  0       0       0       40.228  7.3672  99.17   1.0364  0.5     
8-26    2       1.3828  0       0       0       37.479  -6.464  99.13   1.0354  0.3557  
8-27    5       1.3265  0       0       0       38.755  5.4128  99.13   1.0336  0.4966  
8-28    21      1.3101  0       0       0       38.211  1.1349  99.13   1.0446  0.4327  
8-29    9       1.3368  0       0       0       37.783  -3.329  99.13   1.0431  0.4103  
8-30    17      1.3119  0       0       0       38.415  2.8706  99.13   1.0414  0.3081  
---------------------------------------------------------------------
Average :       1.3     0       0       0       39.42   0.352   99.16   
Optimum :       1.147   0       0       0       43.98   -0.3    99.25   
 
